Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224121

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Benmore
Commodity type,Base
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
31/01/2021,Benmore,N/A,N/A,Simple daily average spot price,161.7415
31/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,162.6224
01/02/2021,Benmore,N/A,N/A,Simple daily average spot price,138.1502
01/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,167.6759
01/02/2021,Benmore,Quarterly,Base,All maturities,115.7813
01/02/2021,Benmore,Quarterly,Base,Long-dated,105.3833
01/02/2021,Benmore,Quarterly,Base,Short-dated,146.9750
01/02/2021,Benmore,Quarterly,Base,2022 Calendar year,112.3375
01/02/2021,Benmore,Quarterly,Base,2023 Calendar year,104.7375
01/02/2021,Benmore,Quarterly,Base,2024 Calendar year,99.0750
01/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,125.9625
01/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,121.1667
01/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,117.6188
01/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,114.5950
02/02/2021,Benmore,N/A,N/A,Simple daily average spot price,156.4315
02/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,172.4510
02/02/2021,Benmore,Quarterly,Base,All maturities,119.1188
02/02/2021,Benmore,Quarterly,Base,Long-dated,108.2625
02/02/2021,Benmore,Quarterly,Base,Short-dated,151.6875
02/02/2021,Benmore,Quarterly,Base,2022 Calendar year,116.2500
02/02/2021,Benmore,Quarterly,Base,2023 Calendar year,107.7625
02/02/2021,Benmore,Quarterly,Base,2024 Calendar year,100.7750
02/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,130.9500
02/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,125.3833
02/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,121.7563
02/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,118.3350
03/02/2021,Benmore,N/A,N/A,Simple daily average spot price,248.0954
03/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,180.2959
03/02/2021,Benmore,Quarterly,Base,All maturities,120.7219
03/02/2021,Benmore,Quarterly,Base,Long-dated,109.5750
03/02/2021,Benmore,Quarterly,Base,Short-dated,154.1625
03/02/2021,Benmore,Quarterly,Base,2022 Calendar year,117.2875
03/02/2021,Benmore,Quarterly,Base,2023 Calendar year,109.6000
03/02/2021,Benmore,Quarterly,Base,2024 Calendar year,101.8375
03/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,132.1250
03/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,126.7750
03/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,123.1750
03/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,119.9050
04/02/2021,Benmore,N/A,N/A,Simple daily average spot price,303.9375
04/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,190.5742
04/02/2021,Benmore,Quarterly,Base,All maturities,122.8625
04/02/2021,Benmore,Quarterly,Base,Long-dated,110.7875
04/02/2021,Benmore,Quarterly,Base,Short-dated,159.0875
04/02/2021,Benmore,Quarterly,Base,2022 Calendar year,118.5750
04/02/2021,Benmore,Quarterly,Base,2023 Calendar year,111.8750
04/02/2021,Benmore,Quarterly,Base,2024 Calendar year,101.9125
04/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,133.8000
04/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,128.1500
04/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,124.5625
04/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,121.6400
05/02/2021,Benmore,N/A,N/A,Simple daily average spot price,286.3421
05/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,205.8681
05/02/2021,Benmore,Quarterly,Base,All maturities,124.9625
05/02/2021,Benmore,Quarterly,Base,Long-dated,111.7333
05/02/2021,Benmore,Quarterly,Base,Short-dated,164.6500
05/02/2021,Benmore,Quarterly,Base,2022 Calendar year,119.6750
05/02/2021,Benmore,Quarterly,Base,2023 Calendar year,113.5875
05/02/2021,Benmore,Quarterly,Base,2024 Calendar year,101.9375
05/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,136.8875
05/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,130.2083
05/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,126.6188
05/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,123.5600
06/02/2021,Benmore,N/A,N/A,Simple daily average spot price,172.7035
06/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,208.8428
07/02/2021,Benmore,N/A,N/A,Simple daily average spot price,208.6521
07/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,209.5067
08/02/2021,Benmore,N/A,N/A,Simple daily average spot price,246.9860
08/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,220.1623
08/02/2021,Benmore,Quarterly,Base,All maturities,124.9625
08/02/2021,Benmore,Quarterly,Base,Long-dated,111.7333
08/02/2021,Benmore,Quarterly,Base,Short-dated,164.6500
08/02/2021,Benmore,Quarterly,Base,2022 Calendar year,119.6750
08/02/2021,Benmore,Quarterly,Base,2023 Calendar year,113.5875
08/02/2021,Benmore,Quarterly,Base,2024 Calendar year,101.9375
08/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,136.8875
08/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,130.2083
08/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,126.6188
08/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,123.5600
09/02/2021,Benmore,N/A,N/A,Simple daily average spot price,174.7627
09/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,224.7389
09/02/2021,Benmore,Quarterly,Base,All maturities,129.1719
09/02/2021,Benmore,Quarterly,Base,Long-dated,115.6750
09/02/2021,Benmore,Quarterly,Base,Short-dated,169.6625
09/02/2021,Benmore,Quarterly,Base,2022 Calendar year,123.2125
09/02/2021,Benmore,Quarterly,Base,2023 Calendar year,117.8125
09/02/2021,Benmore,Quarterly,Base,2024 Calendar year,106.0000
09/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,140.7500
09/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,133.3917
09/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,130.5438
09/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,127.1600
10/02/2021,Benmore,N/A,N/A,Simple daily average spot price,144.2619
10/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,223.2177
10/02/2021,Benmore,Quarterly,Base,All maturities,127.7438
10/02/2021,Benmore,Quarterly,Base,Long-dated,114.8333
10/02/2021,Benmore,Quarterly,Base,Short-dated,166.4750
10/02/2021,Benmore,Quarterly,Base,2022 Calendar year,121.9750
10/02/2021,Benmore,Quarterly,Base,2023 Calendar year,114.4375
10/02/2021,Benmore,Quarterly,Base,2024 Calendar year,108.0875
10/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,138.4750
10/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,132.1333
10/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,128.2875
10/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,125.0550
11/02/2021,Benmore,N/A,N/A,Simple daily average spot price,145.2252
11/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,210.3589
11/02/2021,Benmore,Quarterly,Base,All maturities,128.1750
11/02/2021,Benmore,Quarterly,Base,Long-dated,115.7250
11/02/2021,Benmore,Quarterly,Base,Short-dated,165.5250
11/02/2021,Benmore,Quarterly,Base,2022 Calendar year,124.1500
11/02/2021,Benmore,Quarterly,Base,2023 Calendar year,115.4375
11/02/2021,Benmore,Quarterly,Base,2024 Calendar year,107.5875
11/02/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,139.2625
11/02/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,133.3833
11/02/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,129.4750
11/02/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,126.2050
12/02/2021,Benmore,N/A,N/A,Simple daily average spot price,168.5738
12/02/2021,Benmore,N/A,N/A,7-day simple moving average spot price,193.4384
12/02/2021,Benmore,Quarterly,Base,All maturities,127.5094
12/02/2021,Benmore,Quarterly,Base,Long-dated,115.6667
12/02/2021,Benmore,Quarterly,Base,Short-dated,163.0375
