Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224120

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Otahuhu
Commodity type,Peak
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
02/02/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
02/02/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
02/02/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
02/02/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
02/02/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
02/02/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
02/02/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
03/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,261.7808
03/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,185.4615
03/02/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
03/02/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
04/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,307.8913
04/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,194.3782
04/02/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
04/02/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
05/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,295.7681
05/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,209.9214
05/02/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
05/02/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
06/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,169.1369
06/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,211.6626
07/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,207.5421
07/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,213.8986
08/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,243.7923
08/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,224.5334
08/02/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
08/02/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
09/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,180.9321
09/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,229.2022
09/02/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
09/02/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
10/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,148.9619
10/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,226.9757
10/02/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
10/02/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
10/02/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
10/02/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
10/02/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
10/02/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
10/02/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
10/02/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
10/02/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
