STATION,NODE,YEAR,WEEK,PEAK,SHOULDER,OFFPEAK
Glenbrook_cogen,NI,2014,33,67.365,66.272,67.3
Glenbrook_cogen,NI,2014,34,70.723,67.942,70.583
Glenbrook_cogen,NI,2014,35,70.393,69.481,72.452
Glenbrook_cogen,NI,2014,36,64.129,64.814,66.849
Glenbrook_cogen,NI,2014,37,67.676,67.845,70.88
Glenbrook_cogen,NI,2014,38,48.691,54.841,61.802
Glenbrook_cogen,NI,2014,39,47.128,51.12,52.217
Glenbrook_cogen,NI,2014,40,56.302,54.404,57.36
Glenbrook_cogen,NI,2014,41,43.596,45.451,48.633
Glenbrook_cogen,NI,2014,42,28.104,34.414,39.956
Glenbrook_cogen,NI,2014,43,69.048,63.275,71.183
Glenbrook_cogen,NI,2014,44,74.546,73.591,74.063
Glenbrook_cogen,NI,2014,45,72.594,69.768,72.513
Glenbrook_cogen,NI,2014,46,79.461,77.285,73.704
Glenbrook_cogen,NI,2014,47,70.492,69.995,74.22
Glenbrook_cogen,NI,2014,48,71.956,71.51,75.778
Glenbrook_cogen,NI,2014,49,80.813,81.861,81.546
Glenbrook_cogen,NI,2014,50,82.089,74.661,76.898
Glenbrook_cogen,NI,2014,51,77.9,71.958,77.894
Glenbrook_cogen,NI,2014,52,74.261,74.902,77.107
Glenbrook_cogen,NI,2015,1,71.149,77.959,79.304
Glenbrook_cogen,NI,2015,2,84.244,70.226,73.708
Glenbrook_cogen,NI,2015,3,80.91,78.425,80.447
Glenbrook_cogen,NI,2015,4,82.854,80.873,81.465
Glenbrook_cogen,NI,2015,5,75.987,76.882,80.612
Glenbrook_cogen,NI,2015,6,84.066,83.033,83.045
Glenbrook_cogen,NI,2015,7,85.899,85.973,84.112
Glenbrook_cogen,NI,2015,8,73.143,64.159,68.242
Glenbrook_cogen,NI,2015,9,59.714,59.925,57.675
Glenbrook_cogen,NI,2015,10,61.254,53.341,57.39
Glenbrook_cogen,NI,2015,11,60.295,61.853,61.773
Glenbrook_cogen,NI,2015,12,49.992,49.764,58.824
Glenbrook_cogen,NI,2015,13,69.52,67.944,67.978
Glenbrook_cogen,NI,2015,14,73.317,69.266,70.115
Glenbrook_cogen,NI,2015,15,73.901,73.187,74.38
Glenbrook_cogen,NI,2015,16,65.425,70.954,78.307
Glenbrook_cogen,NI,2015,17,82.273,81.127,80.956
Glenbrook_cogen,NI,2015,18,70.463,71.381,78.003
Glenbrook_cogen,NI,2015,19,55.928,56.906,60.25
Glenbrook_cogen,NI,2015,20,76.681,72.753,74.218
Glenbrook_cogen,NI,2015,21,75.428,73.759,65.596
Glenbrook_cogen,NI,2015,22,68.227,66.359,74.095
Glenbrook_cogen,NI,2015,23,57.278,55.838,56.579
Glenbrook_cogen,NI,2015,24,74.017,78.38,81.865
Glenbrook_cogen,NI,2015,25,79.695,80.166,83.494
Glenbrook_cogen,NI,2015,26,77.658,78.089,80.06
Glenbrook_cogen,NI,2015,27,54.935,69.703,70.771
Glenbrook_cogen,NI,2015,28,31.781,34.879,38.247
Glenbrook_cogen,NI,2015,29,56.319,51.259,49.48
Glenbrook_cogen,NI,2015,30,49.62,51.466,53.009
Glenbrook_cogen,NI,2015,31,49.32,43.681,49.473
Glenbrook_cogen,NI,2015,32,56.468,50.246,50.783
Glenbrook_cogen,NI,2015,33,73.697,67.224,72.217
Glenbrook_cogen,NI,2015,34,77.671,72.84,71.499
Glenbrook_cogen,NI,2015,35,75.577,73.328,75.478
Glenbrook_cogen,NI,2015,36,64.591,61.849,64.406
Glenbrook_cogen,NI,2015,37,62.612,68.109,70.225
Glenbrook_cogen,NI,2015,38,70.041,67.958,67.986
Glenbrook_cogen,NI,2015,39,66.936,70.718,73.08
Glenbrook_cogen,NI,2015,40,67.609,65.177,74.449
Glenbrook_cogen,NI,2015,41,70.231,68.654,71.216
Glenbrook_cogen,NI,2015,42,68.42,69.655,76.185
Glenbrook_cogen,NI,2015,43,74.065,73.404,76.125
Glenbrook_cogen,NI,2015,44,63.238,69.921,75.834
Glenbrook_cogen,NI,2015,45,71.619,74.536,78.114
Glenbrook_cogen,NI,2015,46,73.017,70.955,71.765
Glenbrook_cogen,NI,2015,47,59.426,61.64,59.688
Glenbrook_cogen,NI,2015,48,77.071,75.001,68.528
Glenbrook_cogen,NI,2015,49,65.365,65.22,67.994
Glenbrook_cogen,NI,2015,50,72.905,69.469,72.085
Glenbrook_cogen,NI,2015,51,55.237,55.301,51.025
Glenbrook_cogen,NI,2015,52,74.165,73.196,72.293
Glenbrook_cogen,NI,2016,1,70.916,67.924,70.286
Glenbrook_cogen,NI,2016,2,73.849,68.701,68.268
Glenbrook_cogen,NI,2016,3,75.812,57.383,67.084
Glenbrook_cogen,NI,2016,4,79.464,65.472,65.496
Glenbrook_cogen,NI,2016,5,75.835,68.801,70.715
Glenbrook_cogen,NI,2016,6,72.002,73.243,74.051
Glenbrook_cogen,NI,2016,7,68.951,70.311,70.037
Glenbrook_cogen,NI,2016,8,30.218,27.231,33.251
Glenbrook_cogen,NI,2016,9,36.927,36.348,35.296
Glenbrook_cogen,NI,2016,10,37.018,35.854,39.954
Glenbrook_cogen,NI,2016,11,37.58,31.721,42.867
Glenbrook_cogen,NI,2016,12,60.414,57.624,62.157
Glenbrook_cogen,NI,2016,13,55.906,63.77,60.905
Glenbrook_cogen,NI,2016,14,70.283,64.774,69.111
Glenbrook_cogen,NI,2016,15,49.428,53.09,62.105
Glenbrook_cogen,NI,2016,16,66.462,64.879,64.096
Glenbrook_cogen,NI,2016,17,67.673,63.698,61.113
Glenbrook_cogen,NI,2016,18,63.037,62.523,67.026
Glenbrook_cogen,NI,2016,19,57.087,57.391,62.259
Glenbrook_cogen,NI,2016,20,68.453,67.56,65.487
Glenbrook_cogen,NI,2016,21,66.137,65.618,64.195
Glenbrook_cogen,NI,2016,22,65.578,59.819,63.318
Glenbrook_cogen,NI,2016,23,70.083,70.238,71.957
Glenbrook_cogen,NI,2016,24,73.892,67.686,68.119
Glenbrook_cogen,NI,2016,25,67.45,65.946,72.147
Glenbrook_cogen,NI,2016,26,77.139,72.225,73.322
Glenbrook_cogen,NI,2016,27,68.382,64.731,68.568
Glenbrook_cogen,NI,2016,28,76.855,70.872,72.103
Glenbrook_cogen,NI,2016,29,59.334,54.047,58.297
Glenbrook_cogen,NI,2016,30,73.143,68.917,70.627
Glenbrook_cogen,NI,2016,31,81.627,76.018,74.07
Glenbrook_cogen,NI,2016,32,71.323,69.594,68.763
Glenbrook_cogen,NI,2016,33,79.073,76.123,75.541
Glenbrook_cogen,NI,2016,34,80.662,77.695,75.768
Glenbrook_cogen,NI,2016,35,78.52,75.171,75.344
Glenbrook_cogen,NI,2016,36,76.434,71.049,71.99
Glenbrook_cogen,NI,2016,37,78.357,72.982,73.715
Glenbrook_cogen,NI,2016,38,57.399,53.097,52.491
Glenbrook_cogen,NI,2016,39,58.682,56.742,57.907
Glenbrook_cogen,NI,2016,40,45.094,46.92,53.182
Glenbrook_cogen,NI,2016,41,3.571,4.028,6.481
Glenbrook_cogen,NI,2016,42,33.379,29.97,28.818
Glenbrook_cogen,NI,2016,43,58.241,62.048,66.107
Glenbrook_cogen,NI,2016,44,65.907,64.409,70.477
Glenbrook_cogen,NI,2016,45,73.333,73.036,76.886
Glenbrook_cogen,NI,2016,46,73.672,73.979,79.387
Glenbrook_cogen,NI,2016,47,69.544,75.23,79.219
Glenbrook_cogen,NI,2016,48,70.814,70.387,66.102
Glenbrook_cogen,NI,2016,49,68.833,68.763,72.281
Glenbrook_cogen,NI,2016,50,75.496,78.301,77.928
Glenbrook_cogen,NI,2016,51,74.447,71.532,77.539
Glenbrook_cogen,NI,2016,52,75.915,76.745,80.121
Glenbrook_cogen,NI,2017,1,73.972,78.826,76.495
Glenbrook_cogen,NI,2017,2,71.935,78.132,80.177
Glenbrook_cogen,NI,2017,3,55.1,57.516,67.914
Glenbrook_cogen,NI,2017,4,75.856,74.799,77.567
Glenbrook_cogen,NI,2017,5,64.523,66.276,75.5
Glenbrook_cogen,NI,2017,6,70.813,71.536,78.28
Glenbrook_cogen,NI,2017,7,70.275,67.064,74.092
Glenbrook_cogen,NI,2017,8,73.263,71.519,74.791
Glenbrook_cogen,NI,2017,9,34.644,30.555,40.696
Glenbrook_cogen,NI,2017,10,58.206,56.742,52.041
Glenbrook_cogen,NI,2017,11,55.969,48.784,47.729
Glenbrook_cogen,NI,2017,12,47.962,53.859,56.76
Glenbrook_cogen,NI,2017,13,60.69,63.441,72.324
Glenbrook_cogen,NI,2017,14,66.929,64.165,68.345
Glenbrook_cogen,NI,2017,15,70.031,68.848,71.781
Glenbrook_cogen,NI,2017,16,55.107,60.793,68.773
Glenbrook_cogen,NI,2017,17,67.458,68.643,70.037
Glenbrook_cogen,NI,2017,18,69.177,66.223,75.135
Glenbrook_cogen,NI,2017,19,71.976,71.621,74.807
Glenbrook_cogen,NI,2017,20,73.016,71.971,70.624
