% Historical weekly inflow sequences [cumecs].

CATCHMENT,,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Dunstan,Lake_Cobb,Lake_Coleridge,Lake_Hawea,Lake_Karapiro,Lakes_Manapouri_Te_Anau,Mangahao_head,Lake_Maraetai,Lake_Matahina,Lake_Pukaki,Lake_Tekapo,Lake_Ohakuri,Lake_Ohau,Lake_Moawhango,Lake_Roxburgh,Lake_Taupo,Lake_Rotoaira,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru
INFLOW_REGION,,NI,NI,NI,SI,SI,SI,SI,SI,SI,NI,SI,NI,NI,NI,SI,SI,NI,SI,NI,SI,NI,NI,NI,NI,SI,SI,NI
YEAR,WEEK
1932,47,2.997286,1.516857,3.755857,8.276143,110.7895,204.4385,9.158714,30.213857,72.354,10.166,802.922,12.943571,8.086286,52.505429,223.891429,92.724857,18.203571,187.430429,19.697571,7.047429,89.192778,22.96475,1.100429,3.119714,19.643429,170.043571,6.165857
1932,48,3.012286,1.524571,3.774714,4.446571,53.571571,304.282,9.093857,29.923571,163.091714,10.217286,742.969571,7.448571,8.127,52.449429,234.77,177.444571,18.295286,100.698714,19.980818,10.384,75.61975,23.2158,2.001857,3.135429,10.553714,315.221143,6.196857
1932,49,3.895143,1.971429,4.880857,4.817143,58.037286,251.869625,6.852857,19.918714,55.160429,13.211571,212.021214,9.802857,10.508857,50.765929,131.691857,70.973143,23.656571,109.092714,19.9604,8.543,63.600692,23.234546,1.013857,4.054,11.433143,268.753429,8.012857
1932,50,4.885,2.472429,6.121143,3.885143,46.805857,241.011,10.339857,35.486,102.451,16.569286,400.248464,7.317571,13.179857,54.169583,158.468571,100.969286,29.669143,87.980429,25.590273,8.224714,99.524727,34.3168,4.877,5.084286,9.221,273.545429,10.049143
1932,51,4.606,2.331286,5.771571,3.858857,46.496571,186.562857,6.106143,16.586143,55.670714,15.622714,201.452054,3.989,12.426714,60.311333,152.837,80.917714,27.974,87.399429,29.276643,6.366714,127.2725,42.168154,1.183286,4.794,9.160286,260.502,9.474857
1932,52,4.484889,2.269889,5.619778,3.975,47.896,155.9375,7.665778,23.549,64.716667,15.211778,343.723778,6.259333,12.100111,54.197154,217.254222,115.877111,27.238556,90.03,25.677941,5.315,101.21,36.280625,4.023222,4.667889,9.436,237.455,9.225889
1933,1,4.726857,2.392571,5.923286,3.517714,42.384429,250.857714,5.183143,12.464571,56.453143,16.033429,429.958321,8.245714,12.753286,55.423667,207.901857,111.465571,28.709714,79.670143,24.964083,8.560857,114.535333,33.81075,1.777429,4.92,8.35,188.119857,9.724143
1933,2,4.293143,2.172857,5.379571,2.524857,30.418857,229.79975,4.721571,10.404286,33.834143,14.561429,239.179857,3.956571,11.582714,57.101889,164.059571,74.164286,26.074286,57.178286,28.674143,7.841714,104.285429,40.299286,0.870571,4.468429,5.992714,181.548,8.831571
1933,3,5.394,2.73,6.759,3.317857,39.973571,189.266143,5.206429,12.568857,44.943143,18.295429,145.109143,5.663714,14.552857,67.577,201.777714,106.481429,32.760429,75.138,37.883875,6.458857,162.790143,55.77975,5.115571,5.614286,7.875143,181.548,11.096429
1933,4,4.314857,2.184,5.406857,3.777143,45.509857,168.84475,5.569857,14.192429,37.057286,14.635571,141.645286,5.559429,11.641571,53.3364,167.439571,78.067571,26.206714,85.544714,21.31475,5.668857,89.684,27.380625,7.602571,4.491143,8.965143,175.631429,8.876429
1933,5,1.945857,0.984857,2.438429,9.392429,113.164143,185.467571,8.782,28.531571,144.352429,6.600429,753.838857,11.046429,5.249857,64.6706,620.836571,341.571571,11.818571,212.714286,36.91,6.329286,138.587857,54.244125,2.131714,2.025429,22.293429,285.564429,4.003143
1933,6,3.653714,1.849286,4.578143,4.319571,52.042714,248.686143,9.647857,32.397286,54.186857,12.392571,229.608143,6.502143,9.857143,69.904846,270.973857,125.002429,22.190143,97.824286,38.436889,8.486714,185.560625,59.569375,26.302571,3.802714,10.252571,299.734286,7.516
1933,7,3.323286,1.682,4.164143,5.365286,64.642857,227.654429,9.047857,29.718571,71.562286,11.271571,801.041964,5.889857,8.965857,60.75475,229.458,132.453571,20.183143,121.509429,30.020143,7.769,125.652429,42.689286,4.873714,3.458857,12.734857,263.954429,6.836286
1933,8,3.397143,1.719286,4.256714,11.492,138.459286,258.128571,10.769286,37.403143,179.901286,11.522286,758.355196,6.884857,9.165143,60.913,447.140571,268.613286,20.631857,260.261714,30.165,8.808857,126.687,42.947,11.429143,3.535571,27.276571,347.268143,6.988
1933,9,3.871571,1.959429,4.851429,6.775143,81.629,372.810286,9.524143,31.844286,89.458429,13.131714,719.149911,3.596857,10.445286,68.38125,357.348714,117.380429,23.514143,153.438143,37.525,12.722714,177.6419,52.443333,20.427,4.029571,16.080857,409.480714,7.964429
1933,10,3.533571,1.788429,4.427857,3.728143,44.918143,314.067857,6.456571,18.149571,50.544,11.985286,446.466143,5.729714,9.533429,51.730769,144.759571,74.211429,21.461,84.432143,18.904875,10.718,85.7597,24.050111,6.860286,3.677714,8.848857,317.649571,7.269143
1933,11,3.362571,1.702,4.213571,2.586429,31.163857,237.318,4.942714,11.391,36.075714,11.405286,188.413857,5.719,9.072143,50.315385,119.432143,73.764,20.422429,58.578571,21.221222,8.098714,49.1442,26.236778,6.545571,3.499857,6.139286,244.186571,6.917429
1933,12,5.293429,2.679429,6.633,7.546714,90.926,205.200571,5.808429,15.255571,158.486429,17.954714,1065.295857,17.009714,14.281571,95.214929,308.117429,146.684,32.15,170.913857,41.802286,7.002857,294.704444,103.2925,20.977143,5.509429,17.912571,272.752714,10.889714
1933,13,4.047429,2.048429,5.071571,5.061429,60.979857,250.094857,4.692,10.272571,67.397,13.727857,343.286429,7.218,10.919429,62.033,243.507857,94.378571,24.581286,114.623429,40.8269,8.534857,161.1077,52.843333,4.540571,4.212571,12.013,352.617714,8.325714
1933,14,3.315,1.677714,4.154143,6.278286,75.641571,268.480857,6.546,18.548857,148.432286,11.244571,532.624714,9.217714,8.944429,62.942,246.715429,199.240857,20.135,142.183714,32.6315,9.162143,138.1215,47.0865,2.895571,3.450571,14.901286,325.292857,6.82
1933,15,3.894857,1.971143,4.880571,6.791429,81.823,270.095,6.982286,20.496857,108.868714,13.210571,872.073857,7.212286,10.508,56.2018,357.338429,122.257714,23.655143,153.802286,28.216818,9.217143,124.317462,35.140077,4.637571,4.053857,16.119,382.923286,8.012286
1933,16,3.564714,1.804143,4.466714,9.14,123.48575,297.647875,7.908571,24.632,186.206,12.090429,1396.915857,10.743857,9.617286,59.624889,241.122143,153.613429,21.649857,206.996714,31.453143,10.184857,118.427846,45.753692,1.105429,3.710143,24.32675,386.232857,7.333143
1933,17,4.066429,2.058143,5.095571,4.691714,56.526571,400.995875,9.783714,33.003857,75.656857,13.793,571.940339,6.062143,10.971143,64.690429,133.674714,65.823143,24.697571,106.252143,36.662556,13.553571,157.227818,49.9252,5.765143,4.232429,11.135857,357.250143,8.365429
1933,18,4.908857,2.484571,6.151,3.616143,43.564143,321.397857,10.479143,36.107143,71.787,16.650286,622.151143,17.670143,13.244,75.8575,91.337714,78.374143,29.813857,81.887429,54.5281,10.968286,182.3311,76.605364,9.784,5.109143,8.582,277.723143,10.098286
