hub,woy,daytype,tp,mw
BEN,4,weekend,20,173.51950000000002
BEN,4,weekend,21,228.07391666666666
BEN,4,weekend,22,223.341
BEN,4,weekend,23,222.2789666666667
BEN,4,weekend,24,218.6326666666667
BEN,4,weekend,25,217.2844666666667
BEN,4,weekend,26,210.66733333333335
BEN,4,weekend,27,204.12766666666667
BEN,4,weekend,28,199.05125
BEN,4,weekend,29,202.43281666666667
BEN,4,weekend,30,205.22200000000004
BEN,4,weekend,31,163.4405
BEN,4,weekend,32,208.5939666666667
BEN,4,weekend,33,164.48650000000004
BEN,4,weekend,34,167.32108333333332
BEN,4,weekend,35,218.8555
BEN,4,weekend,36,225.40808333333334
BEN,4,weekend,37,224.1865
BEN,4,weekend,38,223.5455
BEN,4,weekend,39,220.99226666666664
BEN,4,weekend,40,166.53649999999996
BEN,4,weekend,41,163.5715833333333
BEN,4,weekend,42,163.21086666666667
BEN,4,weekend,43,212.35500000000002
BEN,4,weekend,44,165.618
BEN,4,weekend,45,159.45683333333332
BEN,4,weekend,46,152.32843333333335
BEN,4,weekend,47,152.094
BEN,4,weekend,48,143.1576666666667
BEN,5,weekday,1,186.72725000000003
BEN,5,weekday,2,141.48361666666665
BEN,5,weekday,3,134.2095
BEN,5,weekday,4,132.61516666666665
BEN,5,weekday,5,135.46599999999998
BEN,5,weekday,6,136.1329166666667
BEN,5,weekday,7,134.69703333333334
BEN,5,weekday,8,135.4563333333333
BEN,5,weekday,9,166.22330000000002
BEN,5,weekday,10,135.2285
BEN,5,weekday,11,173.63533333333336
BEN,5,weekday,12,142.15706666666668
BEN,5,weekday,13,152.27599999999998
BEN,5,weekday,14,160.5477666666667
BEN,5,weekday,15,225.8955
BEN,5,weekday,16,237.2474166666667
BEN,5,weekday,17,237.61033333333333
BEN,5,weekday,18,230.34974999999997
BEN,5,weekday,19,232.20209999999997
BEN,5,weekday,20,234.14383333333336
BEN,5,weekday,21,238.31646666666668
BEN,5,weekday,22,180.4219
BEN,5,weekday,23,179.40966666666668
BEN,5,weekday,24,180.78869999999998
BEN,5,weekday,25,176.43283333333332
BEN,5,weekday,26,174.65866666666668
BEN,5,weekday,27,174.40753333333333
BEN,5,weekday,28,173.20476666666664
BEN,5,weekday,29,175.57216666666667
BEN,5,weekday,30,178.0105
BEN,5,weekday,31,181.15153333333336
BEN,5,weekday,32,183.27546666666666
BEN,5,weekday,33,245.70263333333332
BEN,5,weekday,34,183.49233333333333
BEN,5,weekday,35,186.5115
BEN,5,weekday,36,189.46316666666667
BEN,5,weekday,37,185.47025000000002
BEN,5,weekday,38,183.9516666666667
BEN,5,weekday,39,182.48000000000002
BEN,5,weekday,40,179.90313333333333
BEN,5,weekday,41,175.11266666666666
BEN,5,weekday,42,172.42710000000002
BEN,5,weekday,43,172.97933333333333
BEN,5,weekday,44,170.70083333333335
BEN,5,weekday,45,168.99103333333332
BEN,5,weekday,46,161.98250000000002
BEN,5,weekday,47,165.096
BEN,5,weekday,48,156.8708333333333
BEN,5,weekend,1,157.635
BEN,5,weekend,2,154.45324999999997
BEN,5,weekend,3,144.1278333333333
BEN,5,weekend,4,138.69983333333334
BEN,5,weekend,5,142.77200000000002
BEN,5,weekend,6,141.73766666666668
BEN,5,weekend,7,141.34326666666666
BEN,5,weekend,8,172.2895
BEN,5,weekend,9,172.8923333333333
BEN,5,weekend,10,177.55283333333333
BEN,5,weekend,11,184.7961666666667
BEN,5,weekend,12,184.561
BEN,5,weekend,13,187.2645
BEN,5,weekend,14,191.64000000000001
BEN,5,weekend,15,200.24599999999998
BEN,5,weekend,16,214.81583333333333
BEN,5,weekend,17,220.1598333333333
BEN,5,weekend,18,227.01066666666665
BEN,5,weekend,19,232.16316666666665
BEN,5,weekend,20,231.34833333333333
BEN,5,weekend,21,229.67116666666666
BEN,5,weekend,22,227.52749999999997
BEN,5,weekend,23,227.92899999999997
BEN,5,weekend,24,224.5605
BEN,5,weekend,25,219.64500000000004
BEN,5,weekend,26,216.81500000000003
BEN,5,weekend,27,212.6445
BEN,5,weekend,28,205.2884
BEN,5,weekend,29,206.0
BEN,5,weekend,30,209.41566666666668
BEN,5,weekend,31,216.23949999999996
BEN,5,weekend,32,210.99383333333333
BEN,5,weekend,33,211.40675000000005
BEN,5,weekend,34,216.18363333333332
BEN,5,weekend,35,219.90741666666665
BEN,5,weekend,36,175.64943333333335
BEN,5,weekend,37,176.45766666666665
BEN,5,weekend,38,219.40063333333333
BEN,5,weekend,39,213.6983333333333
BEN,5,weekend,40,209.79516666666666
BEN,5,weekend,41,212.93108333333333
BEN,5,weekend,42,214.66683333333333
BEN,5,weekend,43,171.84833333333333
BEN,5,weekend,44,216.6175
BEN,5,weekend,45,206.72133333333332
BEN,5,weekend,46,200.796
BEN,5,weekend,47,200.88566666666668
BEN,5,weekend,48,194.18175000000002
BEN,6,weekday,1,157.71005000000002
BEN,6,weekday,2,151.58921666666666
BEN,6,weekday,3,130.24308333333335
BEN,6,weekday,4,143.29343333333333
BEN,6,weekday,5,144.15412500000002
BEN,6,weekday,6,143.87954166666665
BEN,6,weekday,7,124.73608333333334
BEN,6,weekday,8,144.17413333333332
BEN,6,weekday,9,148.10121666666666
BEN,6,weekday,10,152.51746666666665
BEN,6,weekday,11,142.39693333333332
BEN,6,weekday,12,165.99315
BEN,6,weekday,13,180.47879166666667
BEN,6,weekday,14,224.22825
BEN,6,weekday,15,211.36418333333336
BEN,6,weekday,16,195.47433333333333
BEN,6,weekday,17,195.9346083333333
BEN,6,weekday,18,221.5584
BEN,6,weekday,19,253.20179166666668
BEN,6,weekday,20,218.1330916666667
BEN,6,weekday,21,249.38191666666665
BEN,6,weekday,22,240.529425
BEN,6,weekday,23,237.47358333333335
BEN,6,weekday,24,240.88580000000002
BEN,6,weekday,25,239.14915
BEN,6,weekday,26,236.49698333333333
BEN,6,weekday,27,233.26611666666668
BEN,6,weekday,28,202.95033333333333
BEN,6,weekday,29,230.1003333333333
BEN,6,weekday,30,200.85058333333333
BEN,6,weekday,31,204.99471666666665
